"BehaviorSpace results (NetLogo 6.2.1)"
"VillagesCentralidades.nlogo"
"VillageCentralidad"
"09/07/2022 13:27:17:692 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","num-semillas","tipo-semillas","[step]","ticks"
"500","3","degree","62","62"
"502","3","degree","86","86"
"504","3","degree","75","75"
"507","3","degree","61","61"
"505","3","degree","87","87"
"506","3","degree","79","79"
"508","3","degree","47","47"
"510","3","degree","55","55"
"503","3","degree","177","177"
"511","3","degree","64","64"
"509","3","degree","76","76"
"512","3","degree","67","67"
"514","3","degree","54","54"
"518","3","degree","36","36"
"517","3","degree","47","47"
"515","3","degree","72","72"
"513","3","degree","84","84"
"516","3","degree","69","69"
"519","3","degree","104","104"
"524","3","degree","39","39"
"520","3","degree","76","76"
"523","3","degree","62","62"
"521","3","degree","86","86"
"526","3","degree","50","50"
"525","3","degree","60","60"
"522","3","degree","98","98"
"527","3","degree","84","84"
"528","3","degree","71","71"
"529","3","degree","68","68"
"530","3","degree","75","75"
"534","3","degree","51","51"
"533","3","degree","63","63"
"532","3","degree","74","74"
"531","3","degree","96","96"
"535","3","degree","48","48"
"537","3","degree","52","52"
"536","3","degree","66","66"
"539","3","degree","63","63"
"540","3","degree","57","57"
"538","3","degree","96","96"
"541","3","degree","60","60"
"542","3","degree","74","74"
"543","3","degree","61","61"
"544","3","degree","60","60"
"546","3","degree","50","50"
"548","3","degree","64","64"
"549","3","degree","63","63"
"547","3","degree","68","68"
"545","3","degree","136","136"
"552","3","degree","50","50"
"550","3","degree","79","79"
"551","3","degree","84","84"
"554","3","degree","67","67"
"553","3","degree","95","95"
"557","3","degree","56","56"
"559","3","degree","48","48"
"555","3","degree","85","85"
"558","3","degree","66","66"
"556","3","degree","89","89"
"561","3","degree","46","46"
"560","3","degree","84","84"
"562","3","degree","51","51"
"565","3","degree","76","76"
"564","3","degree","70","70"
"563","3","degree","93","93"
"568","3","degree","56","56"
"567","3","degree","70","70"
"570","3","degree","48","48"
"566","3","degree","115","115"
"569","3","degree","82","82"
"573","3","degree","52","52"
"572","3","degree","66","66"
"574","3","degree","44","44"
"575","3","degree","62","62"
"577","3","degree","67","67"
"576","3","degree","70","70"
"578","3","degree","70","70"
"579","3","degree","48","48"
"571","3","degree","140","140"
"580","3","degree","57","57"
"581","3","degree","91","91"
"583","3","degree","62","62"
"582","3","degree","73","73"
"586","3","degree","57","57"
"584","3","degree","85","85"
"588","3","degree","48","48"
"591","3","degree","37","37"
"587","3","degree","88","88"
"589","3","degree","85","85"
"590","3","degree","96","96"
"585","3","degree","185","185"
"593","3","degree","75","75"
"592","3","degree","82","82"
"594","3","degree","70","70"
"596","3","degree","56","56"
"599","3","degree","40","40"
"597","3","degree","66","66"
"595","3","degree","90","90"
"601","3","degree","70","70"
"600","3","degree","63","63"
"602","3","degree","66","66"
"598","3","degree","108","108"
"603","3","degree","58","58"
"604","3","degree","66","66"
"607","3","degree","76","76"
"609","3","degree","67","67"
"605","3","degree","105","105"
"606","3","degree","90","90"
"610","3","degree","91","91"
"608","3","degree","94","94"
"611","3","degree","89","89"
"614","3","degree","56","56"
"612","3","degree","73","73"
